subpath_name;asset_id;city
382uedUZoAxyD3nGxh3K-188_382uedUZoAxyD3nGxh3K-196;10HDHZWSHPILLA004;mam-beijing
382uedUZoAxyD3nGxh3K-186_382uedUZoAxyD3nGxh3K-197;10HDHZESHPILLA004;mam-beijing
382uedUZoAxyD3nGxh3K-190_382uedUZoAxyD3nGxh3K-197;10HDHZESHPILLA003;mam-beijing
382uedUZoAxyD3nGxh3K-197_382uedUZoAxyD3nGxh3K-207;10HDHZESHPILLA006;mam-beijing
382uedUZoAxyD3nGxh3K-196_382uedUZoAxyD3nGxh3K-204;10HDHZALCD001;mam-beijing
Jkmxaj1KQZG4fve-s336-59_Jkmxaj1KQZG4fve-s336-64;10ZCLISHCPA001;mam-beijing
Jkmxaj1KQZG4fve-s336-57_Jkmxaj1KQZG4fve-s336-64;10ZCLISHCPA001;mam-beijing
Jkmxaj1KQZG4fve-s336-64_Jkmxaj1KQZG4fve-s336-60;10ZCLISHCPA004;mam-beijing
Jkmxaj1KQZG4fve-s336-65_Jkmxaj1KQZG4fve-s336-61;10ZCLISHCPA007;mam-beijing
Jkmxaj1KQZG4fve-s336-58_Jkmxaj1KQZG4fve-s336-65;10ZCLISHCPA010;mam-beijing
Jkmxaj1KQZG4fve-s336-62_Jkmxaj1KQZG4fve-s336-76;10ZCLIPPL001;mam-beijing
Jkmxaj1KQZG4fve-s336-63_Jkmxaj1KQZG4fve-s336-77;10ZCLIPPL007;mam-beijing
Jkmxaj1KQZG4fve-s336-83_Jkmxaj1KQZG4fve-s336-99;10ZCLIPPL001;mam-beijing
Jkmxaj1KQZG4fve-s336-90_Jkmxaj1KQZG4fve-s336-99;10ZCLIPPL027;mam-beijing
Jkmxaj1KQZG4fve-s336-86_Jkmxaj1KQZG4fve-s336-101;10ZCLIPPL023;mam-beijing
Jkmxaj1KQZG4fve-s336-88_Jkmxaj1KQZG4fve-s336-101;10ZCLIPPL005;mam-beijing
Jkmxaj1KQZG4fve-s336-87_Jkmxaj1KQZG4fve-s336-100;10ZCLIPPL008;mam-beijing
Jkmxaj1KQZG4fve-s336-84_Jkmxaj1KQZG4fve-s336-100;10ZCLIPPL019;mam-beijing
Jkmxaj1KQZG4fve-s336-89_Jkmxaj1KQZG4fve-s336-102;10ZCLIPPL011;mam-beijing
Jkmxaj1KQZG4fve-s336-85_Jkmxaj1KQZG4fve-s336-102;10ZCLIPPL015;mam-beijing
Jkmxaj1KQZG4fve-s336-112_Jkmxaj1KQZG4fve-s336-119;10ZCLISHCPA001;mam-beijing
Jkmxaj1KQZG4fve-s336-113_Jkmxaj1KQZG4fve-s336-119;10ZCLISHCPA004;mam-beijing
Jkmxaj1KQZG4fve-s336-114_Jkmxaj1KQZG4fve-s336-120;10ZCLISHCPA007;mam-beijing
Jkmxaj1KQZG4fve-s336-115_Jkmxaj1KQZG4fve-s336-120;10ZCLISHCPA010;mam-beijing
rSHfjwdZXuG0x2JjLASu-101_rSHfjwdZXuG0x2JjLASu-107;10ZCLUSHPILLA001;mam-beijing
rSHfjwdZXuG0x2JjLASu-107_rSHfjwdZXuG0x2JjLASu-106;10ZCLUSH135LED003;mam-beijing
rSHfjwdZXuG0x2JjLASu-149_rSHfjwdZXuG0x2JjLASu-129;10ZCLUSH135LED004;mam-beijing
rSHfjwdZXuG0x2JjLASu-127_rSHfjwdZXuG0x2JjLASu-131;10ZCLUPPL001;mam-beijing
rSHfjwdZXuG0x2JjLASu-128_rSHfjwdZXuG0x2JjLASu-132;10ZCLUPPL009;mam-beijing
