station_id;year;month;interchange
214;2021;7;9665109.172
1032;2021;7;5897278.033
610;2021;7;4298196.795
615;2021;7;3828018.921
501;2021;7;8395881
620;2021;7;3543126
619;2021;7;4452446
509;2021;7;1989719.525
117;2021;7;2761513
813;2021;7;2702863
203;2021;7;1670778.945
216;2021;7;1631187.526
608;2021;7;2057334
718;2021;7;2163550
515;2021;7;3731765
108;2021;7;1947791
116;2021;7;2742994
213;2021;7;1379701
107;2021;7;2589666
1012;2021;7;1356546
1031;2021;7;4990434
201;2021;7;1142576.4
613;2021;7;5128765
120;2021;7;2062588
724;2021;7;1963746
906;2021;7;1755211
505;2021;7;2901979
503;2021;7;1343511
111;2021;7;2007236
726;2021;7;3247746
119;2021;7;2826356
1037;2021;7;1164302
520;2021;7;1346202
1005;2021;7;1887204
811;2021;7;1361626
719;2021;7;1936874
1003;2021;7;5291585
112;2021;7;5050128
206;2021;7;1739397
1024;2021;7;4933589
209;2021;7;5118903
907;2021;7;1173908
218;2021;7;1932383
207;2021;7;1088159
1014;2021;7;0
805;2021;7;795230
1001;2021;7;0
1034;2021;7;2745117
214;2021;8;13670507.27
1032;2021;8;6228133.955
610;2021;8;7195936.349
615;2021;8;4053390.007
501;2021;8;10419178.5
620;2021;8;4508437
619;2021;8;5315245
509;2021;8;2834367.15
117;2021;8;4229112
813;2021;8;3776788
203;2021;8;2505640.728
216;2021;8;3236819.371
608;2021;8;2122414
718;2021;8;2825474
515;2021;8;4896820
108;2021;8;3242574
116;2021;8;3999928
213;2021;8;1728982
107;2021;8;3210181
1012;2021;8;1992363
1031;2021;8;6128048.685
201;2021;8;1799499.12
613;2021;8;5762604.454
120;2021;8;2711676
724;2021;8;1145344
906;2021;8;3348990
505;2021;8;4444852
503;2021;8;1405361
111;2021;8;3188371
726;2021;8;4622406
119;2021;8;3718425
1037;2021;8;1211172
520;2021;8;1981987
1005;2021;8;3108420
811;2021;8;1784644
719;2021;8;2005475
1003;2021;8;7573727.078
112;2021;8;7511220.161
206;2021;8;2642257
1024;2021;8;5114332.703
209;2021;8;7292725.757
907;2021;8;861754
218;2021;8;2646933
207;2021;8;1137222
1014;2021;8;0
805;2021;8;1193053
1001;2021;8;0
1034;2021;8;2904160
214;2021;9;11822240.01
1032;2021;9;5944812.173
610;2021;9;6458229.048
615;2021;9;3262144.825
501;2021;9;9224535
620;2021;9;4179576
619;2021;9;5016831
509;2021;9;2382362.84
117;2021;9;3236813
813;2021;9;3201579
203;2021;9;2213815.539
216;2021;9;2274094.003
608;2021;9;2085460
718;2021;9;2595304
515;2021;9;4561674
108;2021;9;2584931
116;2021;9;2890625
213;2021;9;1569683
107;2021;9;2881511
1012;2021;9;1880269
1031;2021;9;5666788.793
201;2021;9;1583813.4
613;2021;9;4876106.184
120;2021;9;2206303
724;2021;9;1002622
906;2021;9;3084714
505;2021;9;3847290
503;2021;9;1234340
111;2021;9;2414291
726;2021;9;3869840
119;2021;9;3199867
1037;2021;9;1122876
520;2021;9;1844062
1005;2021;9;2985042
811;2021;9;1622292
719;2021;9;1795621
1003;2021;9;6623877.485
112;2021;9;5112055.202
206;2021;9;2052372
1024;2021;9;4667622.346
209;2021;9;5516938.003
907;2021;9;796723
218;2021;9;2303676
207;2021;9;856479
1014;2021;9;0
805;2021;9;1122266
1001;2021;9;0
1034;2021;9;2725113
214;2021;10;11898973.32
1032;2021;10;5987189.889
610;2021;10;6511533.597
615;2021;10;3359516.646
501;2021;10;9358383
620;2021;10;4032995
619;2021;10;4856947
509;2021;10;2540959.08
117;2021;10;3384511
813;2021;10;3398472
203;2021;10;2217860.478
216;2021;10;2563838.387
608;2021;10;2051426
718;2021;10;2532022
515;2021;10;4493956
108;2021;10;2615731
116;2021;10;3086091
213;2021;10;1555021
107;2021;10;2826135
1012;2021;10;1835076
1031;2021;10;5672711.653
201;2021;10;1588406.46
