network_id;network_name;rent_rate;rent_period_days;share_of_time
Huoying8_Brand_Zone_1;Huoying8_Brand_Zone_1;600000;28;999
South_Gate_of_Forest_Park8_Brand_Zone_1;South_Gate_of_Forest_Park8_Brand_Zone_1;700000;28;999
Dawang_Lu_PlatformL1_Pillar_Wrap;Dawang_Lu_PlatformL1_Pillar_Wrap;600000;28;999
Guomao_PlatformL1_Pillar_Wrap;Guomao_PlatformL1_Pillar_Wrap;600000;28;999
Jianguo_Men_PlatformL1_Pillar_Wrap;Jianguo_Men_PlatformL1_Pillar_Wrap;600000;28;999
Wangfujing_PlatformL1_Pillar_Wrap;Wangfujing_PlatformL1_Pillar_Wrap;600000;28;999
Dongdan_PlatformL1_Pillar_Wrap;Dongdan_PlatformL1_Pillar_Wrap;600000;28;999
Xidan_PlatformL1_Pillar_Wrap;Xidan_PlatformL1_Pillar_Wrap;600000;28;999
Fuxing_Men_PlatformL1_Pillar_Wrap;Fuxing_Men_PlatformL1_Pillar_Wrap;600000;28;999
Fuxing_Men_PlatformL2_Pillar_Wrap;Fuxing_Men_PlatformL2_Pillar_Wrap;600000;28;999
Hujialou_ConcourseL6_Pillar_Wrap;Hujialou_ConcourseL6_Pillar_Wrap;600000;28;999
Chaoyang_Men_PlatformL6_Pillar_Wrap;Chaoyang_Men_PlatformL6_Pillar_Wrap;600000;28;999
Shuangjing_South_Inerchange_Zone_Pillar_Wrap;Shuangjing_South_Inerchange_Zone_Pillar_Wrap;600000;28;999
Shaoyao_Ju_Concourse_L10_Pillar_Wrap;Shaoyao_Ju_Concourse_L10_Pillar_Wrap;500000;28;999
Zhichunlu10_Brand_Zone_3;Zhichunlu10_Brand_Zone_3;1080000;28;999
Sanyuan_Qiao_Concourse_L10_Pillar_Wrap;Sanyuan_Qiao_Concourse_L10_Pillar_Wrap;500000;28;999
Sanyuan_Qiao_PlatformL10_Pillar_Wrap;Sanyuan_Qiao_PlatformL10_Pillar_Wrap;500000;28;999
Liangma_Qiao_PlatformL10_Pillar_Wrap;Liangma_Qiao_PlatformL10_Pillar_Wrap;500000;28;999
Sihui_Dong_ConcourseL1_Pillar_Wrap;Sihui_Dong_ConcourseL1_Pillar_Wrap;500000;28;999
Sihui_ConcourseL1_Pillar_Wrap;Sihui_ConcourseL1_Pillar_Wrap;500000;28;999
Huixinxijie_Nankou_Inerchange_Zone_Pillar_Wrap;Huixinxijie_Nankou_Inerchange_Zone_Pillar_Wrap;500000;28;999
Qingnian_Lu_PlatformL6_Pillar_Wrap;Qingnian_Lu_PlatformL6_Pillar_Wrap;500000;28;999
Olympic_Sports_Center_ConcourseL8_Pillar_Wrap;Olympic_Sports_Center_ConcourseL8_Pillar_Wrap;400000;28;999
South_Gate_of_Forest_Park_North_Concourse_Pillar_Wrap;South_Gate_of_Forest_Park_North_Concourse_Pillar_Wrap;400000;28;999
All_type_digital_network_160;All_type_digital_network_160;1300000;28;0.046
All_type_digital_network_320;All_type_digital_network_320;2000000;28;0.092
135_inch_Led_Network_160;135_inch_Led_Network_160;580000;28;0.046
135_inch_Led_Network_320;135_inch_Led_Network_320;930000;28;0.092
Lishui_Qiao_Concourse_L5_Pillar_Wrap;Lishui_Qiao_Concourse_L5_Pillar_Wrap;500000;28;999
Songjia_Zhuang_Inerchange_Zone_Pillar_Wrap;Songjia_Zhuang_Inerchange_Zone_Pillar_Wrap;500000;28;999
Huoying_Concourse_L8_Pillar_Wrap;Huoying_Concourse_L8_Pillar_Wrap;500000;28;999
Shili_He_Concourse_L10_Pillar_Wrap;Shili_He_Concourse_L10_Pillar_Wrap;500000;28;999
Jiulongshan7_Brand_Zone_1;Jiulongshan7_Brand_Zone_1;1200000;28;999
Sanyuan_Qiao10_Brand_Zone_1;Sanyuan_Qiao10_Brand_Zone_1;880000;28;999
