station_id;station_name
101;古城
102;八角游乐园
103;八宝山
104;玉泉路
105;五棵松
106;万寿路
107;公主坟
108;军事博物馆
109;木樨地
110;南礼士路
111;复兴门
112;西单
113;天安门西
114;天安门东
115;王府井
116;东单
117;建国门
118;永安里
119;国贸
120;大望路
121;四惠
122;四惠东
123;高碑店
124;传媒大学
125;双桥
126;管庄
127;八里桥
128;通州北苑
129;果园
130;九棵树
131;梨园
132;临河里
133;土桥
134;花庄
135;环球度假区
201;东直门
202;东四十条
203;朝阳门
205;北京站
206;崇文门
207;前门
208;和平门
209;宣武门
210;长椿街
212;阜成门
213;车公庄
214;西直门
215;积水潭
216;鼓楼大街
217;安定门
218;雍和宫
501;宋家庄
502;刘家窑
503;蒲黄榆
504;天坛东门
505;磁器口
508;灯市口
509;东四
510;张自忠路
511;北新桥
513;和平里北街
514;和平西桥
515;惠新西街南口
516;惠新西街北口
517;大屯路东
518;北苑路北
519;立水桥南
520;立水桥
521;天通苑南
522;天通苑
523;天通苑北
601;金安桥
602;苹果园
603;杨庄
604;西黄村
605;廖公庄
606;田村
607;海淀五路居
608;慈寿寺
609;花园桥
610;白石桥南
611;车公庄西
613;平安里
614;北海北
615;南锣鼓巷
618;东大桥
619;呼家楼
620;金台路
621;十里堡
622;青年路
623;褡裢坡
624;黄渠
625;常营
626;草房
627;物资学院路
628;通州北关
629;北运河西
630;北运河东
631;郝家府
632;东夏园
633;潞城
703;高楼金
704;群芳
705;万盛东
706;万盛西
707;黑庄户
708;郎辛庄
709;黄厂
710;焦化厂
711;双合
712;垡头
713;欢乐谷景区
714;南楼梓庄
715;化工
716;百子湾
717;大郊亭
718;九龙山
719;双井
720;广渠门外
721;广渠门内
723;桥湾
724;珠市口
725;虎坊桥
726;菜市口
727;广安门内
728;达官营
729;湾子
730;北京西站
801;朱辛庄
802;育知路
803;平西府
804;回龙观东大街
805;霍营
806;育新
807;西小口
808;永泰庄
809;林萃桥
810;森林公园南门
811;奥林匹克公园
812;奥体中心
813;北土城
814;安华桥
815;安德里北街
817;什刹海
819;中国美术馆
820;金鱼胡同
824;天桥
825;永定门外
826;木樨园
827;海户屯
828;大红门南
829;和义
830;东高地
831;火箭万源
832;五福堂
833;德茂
834;瀛海
901;国家图书馆
902;白堆子
905;六里桥东
906;六里桥
907;七里庄
908;丰台东大街
909;丰台南路
910;科怡路
911;丰台科技园
912;郭公庄
1001;巴沟
1002;苏州街
1003;海淀黄庄
1004;知春里
1005;知春路
1006;西土城
1007;牡丹园
1008;健德门
1010;安贞门
1012;芍药居
1013;太阳宫
1014;三元桥
1015;亮马桥
1016;农业展览馆
1017;团结湖
1019;金台夕照
1022;劲松
1023;潘家园
1024;十里河
1025;分钟寺
1026;成寿寺
1028;石榴庄
1029;大红门
1030;角门东
1031;角门西
1032;草桥
1033;纪家庙
1034;首经贸
1035;丰台站
1036;泥洼
1037;西局
1039;莲花桥
1041;西钓鱼台
1043;车道沟
1044;长春桥
1045;火器营
401;安河桥北
402;北宫门
403;西苑
404;圆明园
405;北京大学东门
406;中关村
408;人民大学
409;魏公村
411;动物园
413;新街口
415;西四
416;灵境胡同
420;陶然亭
421;北京南站
422;马家堡
424;公益西桥
425;新宫
426;西红门
427;高米店北
428;高米店南
429;枣园
430;清源路
431;黄村西大街
432;黄村火车站
433;义和庄
434;生物医药基地
435;天宫院
1102;北辛安
1103;新首钢
1302;大钟寺
1304;五道口
1305;上地
1306;清河站
1307;西二旗
1308;龙泽
1309;回龙观
1312;北苑
1313;望京西
1315;光熙门
1316;柳芳
1401;张郭庄
1402;园博园
1403;大瓦窑
1404;郭庄子
1405;大井
1408;东管头
1409;丽泽商务区
1410;菜户营
1411;西铁营
1412;景风门
1415;景泰
1417;方庄
1419;北工大西门
1420;平乐园
1424;朝阳公园
1425;枣营
1426;东风北桥
1427;将台
1428;望京南
1429;阜通
1430;望京
1431;东湖渠
1432;来广营
1433;善各庄
1501;俸伯
1502;顺义
1503;石门
1504;南法信
1505;后沙峪
1506;花梨坎
1507;国展
1508;孙河
1509;马泉营
1510;崔各庄
1511;望京东
1514;关庄
1516;安立路
1518;北沙滩
1519;六道口
1520;清华东路西口
1601;北安河
1602;温阳路
1603;稻香湖路
1604;屯佃
1605;永丰
1606;永丰南
1607;西北旺
1608;马连洼
1609;农大南路
1611;万泉河桥
1612;苏州桥
1613;万寿寺
1615;甘家口
1616;玉渊潭东门
1702;周家庄
1703;十八里店
1704;北神树
1705;次渠北
1706;次渠
1707;嘉会湖
1903;牛街
1905;新发地
1802;肖村
1803;小红门
1804;旧宫
1805;亦庄桥
1806;亦庄文化园
1807;万源街
1808;荣京东街
1809;荣昌东街
1810;同济南路
1811;经海路
1812;次渠南
1814;亦庄火车站
2001;昌平西山口
2002;十三陵景区
2011;昌平
2003;昌平东关
2004;北邵洼
2005;南邵
2006;沙河高教园
2007;沙河
2008;巩华城
2010;生命科学园
2101;东管头南
2103;花乡东桥
2104;白盆窑
2106;大葆台
2107;稻田
2108;长阳
2109;篱笆房
2110;广阳城
2111;良乡大学城北
2112;良乡大学城
2113;良乡大学城西
2114;良乡南关
2115;苏庄
2116;阎村东
2202;紫草坞
2203;阎村
2204;星城
2205;大石河东
2206;马各庄
2207;饶乐府
2208;房山城关
2209;燕山
2303;四道桥
2304;桥户营
2305;上岸
2306;栗园庄
2307;小园
2308;石厂
2404;3号航站楼
2405;2号航站楼
2502;大兴新城
2503;大兴机场
2601;定海园
2602;定海园西
2603;经海一路
2604;亦创会展中心
2606;亦庄同仁
2607;鹿圈东
2608;泰河路
2609;九号村
2610;四海庄
2611;太和桥北
2612;瑞合庄
2613;融兴街
2614;屈庄
2702;颐和园西门
2703;茶棚
2704;万安
2705;植物园
2706;香山
